ma_phieu,gioi_tinh,nhom_tuoi,kinh_nghiem,quy_mo_dn,nganh,DL1,DL2,DL3,DL4,KS1,KS2,KS3,KS4,IP1,IP2,IP3,IP4
R222,Nam,Dưới 30,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,3,2,3,2,1,3,3,4,2,4,4
R223,Nam,40-49,3-5 năm,Nhỏ,Thương mại-Dịch vụ,2,3,2,2,3,3,3,2,3,2,4,3
R224,Nữ,Dưới 30,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,3,3,3,5,2,4,3,4,4,3,3
R225,Nữ,50 trở lên,6-10 năm,Nhỏ,Công nghệ thông tin,4,3,4,3,5,5,5,4,4,4,3,4
R226,Nữ,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,3,3,4,3,4,4,4,4,4,4,5
R227,Nữ,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,4,4,2,4,4,3,3,4,4,4,3
R228,Nam,Dưới 30,3-5 năm,Nhỏ,Sản xuất,3,3,2,3,4,4,3,3,5,5,5,4
R229,Nữ,30-39,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,3,2,2,3,2,2,2,3,1,1,1,2
R230,Nam,Dưới 30,6-10 năm,Nhỏ,Thương mại-Dịch vụ,3,3,3,3,1,2,3,2,2,3,2,2
R231,Nam,50 trở lên,6-10 năm,Nhỏ,Công nghệ thông tin,4,3,3,3,3,3,3,3,2,2,2,2
R232,Nữ,30-39,Trên 10 năm,Vừa,Sản xuất,4,4,5,5,2,3,3,2,5,5,4,3
R233,Nam,Dưới 30,Trên 10 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,5,4,4,3,4,4,4,4,3,3,3
R234,Nam,30-39,6-10 năm,Nhỏ,Sản xuất,4,5,4,3,4,3,2,2,5,5,4,5
R235,Nam,Dưới 30,3-5 năm,Nhỏ,Sản xuất,5,5,5,5,4,2,5,4,4,4,4,5
R236,Nam,40-49,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,3,3,2,2,3,2,3,3,4,3,3,3
R237,Nữ,40-49,6-10 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,5,3,5,4,4,3,2,3
R238,Nữ,Dưới 30,Dưới 3 năm,Nhỏ,Sản xuất,4,4,4,3,3,5,4,3,3,3,5,4
R239,Nữ,30-39,3-5 năm,Vừa,Thương mại-Dịch vụ,4,5,3,4,3,3,2,3,4,3,5,3
R240,Nam,Dưới 30,Dưới 3 năm,Vừa,Xây dựng,5,5,5,5,4,5,4,3,3,4,3,3
R241,Nữ,30-39,Trên 10 năm,Vừa,Thương mại-Dịch vụ,5,5,5,5,5,5,5,5,5,5,5,5
R242,Nữ,30-39,6-10 năm,Vừa,Công nghệ thông tin,4,3,4,4,4,4,4,5,5,4,4,4
R243,Nam,Dưới 30,3-5 năm,Nhỏ,Công nghệ thông tin,4,3,4,3,2,2,3,2,4,3,3,4
R244,Nữ,Dưới 30,6-10 năm,Siêu nhỏ,Xây dựng,2,2,2,3,3,4,1,4,4,3,4,4
R245,Nam,40-49,3-5 năm,Siêu nhỏ,Sản xuất,4,3,2,2,4,5,5,5,5,4,4,5
R246,Nam,50 trở lên,3-5 năm,Vừa,Sản xuất,4,4,5,3,4,4,4,5,3,2,3,3
R247,Nam,Dưới 30,6-10 năm,Nhỏ,Xây dựng,4,4,4,3,4,5,4,5,4,5,4,4
R248,Nữ,40-49,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,2,3,3,2,4,4,4,4,4,3,3,3
R249,Nữ,30-39,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,2,2,3,4,3,4,3,5,4,5,5,5
R250,Nữ,30-39,3-5 năm,Siêu nhỏ,Công nghệ thông tin,5,3,3,4,5,3,5,4,5,4,5,5
R251,Nam,40-49,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,5,3,5,3,4,4,4,4,4,4,4,4
R252,Nam,Dưới 30,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,4,3,2,3,4,3,3,3,3,3,3
R253,Nữ,Dưới 30,3-5 năm,Siêu nhỏ,Sản xuất,3,3,2,3,3,2,3,3,3,3,4,4
R254,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Sản xuất,2,3,3,4,3,4,3,3,3,4,3,4
R255,Nữ,40-49,Trên 10 năm,Vừa,Công nghệ thông tin,3,3,3,4,4,4,4,4,5,4,4,3
R256,Nam,Dưới 30,Dưới 3 năm,Vừa,Khác,3,3,4,3,2,3,3,1,2,2,3,2
R257,Nữ,40-49,6-10 năm,Vừa,Xây dựng,4,4,4,4,4,4,3,2,3,4,4,3
R258,Nữ,30-39,3-5 năm,Vừa,Sản xuất,5,5,4,4,4,4,4,5,5,4,4,5
R259,Nữ,30-39,Dưới 3 năm,Nhỏ,Công nghệ thông tin,5,3,4,4,3,4,3,4,4,5,5,5
R260,Nam,Dưới 30,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,2,2,2,2,3,3,3,3,2,3,3,3
R261,Nữ,40-49,Dưới 3 năm,Nhỏ,Sản xuất,4,3,2,3,3,5,4,4,4,5,5,4
R262,Nữ,30-39,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,3,3,2,1,2,3,2,3,2,3,2,1
R263,Nữ,40-49,3-5 năm,Vừa,Khác,2,3,2,2,1,2,3,2,2,2,2,3
R264,Nữ,30-39,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,4,4,4,3,3,3,4,3,5,3,4,4
R265,Nam,30-39,6-10 năm,Nhỏ,Thương mại-Dịch vụ,3,4,3,3,3,3,3,2,4,3,2,2
R266,Nữ,Dưới 30,Trên 10 năm,Nhỏ,Xây dựng,2,4,3,4,4,3,3,4,2,3,3,3
R267,Nữ,30-39,Dưới 3 năm,Vừa,Sản xuất,3,3,2,2,2,3,2,2,3,3,3,3
R268,Nữ,30-39,6-10 năm,Vừa,Công nghệ thông tin,3,4,2,3,2,1,2,3,2,3,3,1
R269,Nam,50 trở lên,3-5 năm,Vừa,Xây dựng,4,3,5,4,4,4,4,3,3,3,3,4
R270,Nữ,40-49,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,4,3,3,4,4,3,4,2,4,4,4,5
R271,Nam,50 trở lên,3-5 năm,Siêu nhỏ,Sản xuất,4,5,3,3,3,3,3,4,2,3,2,3
R272,Nữ,30-39,6-10 năm,Nhỏ,Khác,5,4,5,5,5,5,5,5,4,4,4,4
R273,Nam,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,2,4,3,5,4,3,4,5,4,5,4
R274,Nữ,30-39,Dưới 3 năm,Vừa,Sản xuất,4,3,3,4,2,3,3,3,4,5,4,3
R275,Nam,30-39,6-10 năm,Vừa,Thương mại-Dịch vụ,3,4,3,4,3,1,3,4,3,3,4,4
R276,Nữ,30-39,Trên 10 năm,Nhỏ,Sản xuất,2,3,3,2,2,3,1,2,3,3,4,3
R277,Nữ,30-39,3-5 năm,Nhỏ,Sản xuất,3,4,3,3,4,4,3,4,3,3,4,3
R278,Nữ,Dưới 30,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,4,3,4,4,4,5,4,4,4,3,5
R279,Nữ,50 trở lên,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,2,2,3,3,4,2,4,3,3,4,2
R280,Nữ,Dưới 30,Trên 10 năm,Vừa,Sản xuất,4,4,5,4,4,3,4,5,5,5,5,4
R281,Nữ,50 trở lên,Trên 10 năm,Vừa,Thương mại-Dịch vụ,5,4,4,5,4,5,4,5,3,3,5,4
R282,Nữ,30-39,Trên 10 năm,Vừa,Thương mại-Dịch vụ,4,3,3,5,4,4,3,3,4,5,5,3
R283,Nam,40-49,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,3,4,2,3,3,4,3,5,4,5,5
R284,Nam,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,2,3,2,2,1,2,2,1,2,3,3,2
R285,Nam,Dưới 30,3-5 năm,Nhỏ,Công nghệ thông tin,5,4,4,5,3,4,2,4,5,5,4,4
R286,Nữ,40-49,Dưới 3 năm,Nhỏ,Khác,4,3,3,4,4,3,3,5,4,4,3,3
R287,Nam,30-39,Dưới 3 năm,Nhỏ,Công nghệ thông tin,4,4,4,4,4,3,3,4,4,4,3,3
R288,Nữ,Dưới 30,6-10 năm,Nhỏ,Xây dựng,3,3,4,2,5,5,5,4,3,2,4,3
R289,Nam,40-49,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,3,4,5,4,3,4,3,3,3
R290,Nữ,50 trở lên,Trên 10 năm,Siêu nhỏ,Công nghệ thông tin,2,3,3,4,3,3,4,3,2,3,2,2
R291,Nữ,30-39,3-5 năm,Nhỏ,Khác,4,4,4,4,2,2,1,3,3,4,4,3
R292,Nữ,40-49,Dưới 3 năm,Nhỏ,Khác,2,3,3,4,3,3,3,3,4,3,2,2
R293,Nữ,Dưới 30,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,4,3,5,2,5,4,3,3,4,3,3
R294,Nam,30-39,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,3,3,2,5,3,4,5,4,3,4,4
R295,Nam,50 trở lên,Dưới 3 năm,Nhỏ,Sản xuất,4,5,4,5,4,3,4,4,3,4,3,2
R296,Nữ,30-39,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,3,3,3,2,3,4,3,4,5,3,4
R297,Nam,30-39,3-5 năm,Nhỏ,Khác,4,4,3,4,5,4,4,4,3,4,3,3
R298,Nữ,Dưới 30,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,5,5,5,4,5,5,4,4,5,3,5
R299,Nữ,50 trở lên,Dưới 3 năm,Nhỏ,Sản xuất,4,3,4,4,2,2,2,3,3,2,3,3
R300,Nam,30-39,Trên 10 năm,Siêu nhỏ,Khác,4,4,4,3,3,5,4,4,3,3,3,2
R301,Nữ,Dưới 30,6-10 năm,Siêu nhỏ,Khác,3,4,4,4,3,4,4,3,3,3,3,3
R302,Nữ,30-39,Trên 10 năm,Vừa,Sản xuất,2,4,3,2,3,4,3,2,2,3,3,2
R303,Nữ,50 trở lên,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,4,5,4,5,5,5,4,3,3,3,4
R304,Nữ,Dưới 30,Dưới 3 năm,Vừa,Sản xuất,5,4,5,5,3,3,3,4,4,4,4,5
R305,Nam,Dưới 30,6-10 năm,Nhỏ,Thương mại-Dịch vụ,4,5,4,3,2,2,3,3,3,2,3,3
R306,Nam,Dưới 30,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,3,4,4,3,4,4,4,4
R307,Nữ,30-39,Dưới 3 năm,Vừa,Công nghệ thông tin,4,3,2,4,3,4,3,4,3,2,3,3
R308,Nữ,40-49,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,3,2,1,2,3,1,3,1,2,1,1
R309,Nữ,40-49,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,3,4,3,3,3,4,2,2,2,3,3
R310,Nam,Dưới 30,Trên 10 năm,Siêu nhỏ,Khác,3,3,2,2,4,4,3,3,2,3,4,2
R311,Nam,50 trở lên,Trên 10 năm,Vừa,Thương mại-Dịch vụ,3,2,3,3,3,4,3,3,3,3,4,3
R312,Nam,30-39,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,3,3,4,5,4,3,3,3,4,3,2,4
R313,Nữ,50 trở lên,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,4,2,2,2,5,4,4,3,3,4,4,4
R314,Nữ,50 trở lên,6-10 năm,Nhỏ,Sản xuất,5,4,4,4,2,3,3,2,4,4,3,4
R315,Nam,30-39,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,3,4,4,4,5,3,5,3,4,3,4,5
R316,Nữ,30-39,Trên 10 năm,Nhỏ,Sản xuất,2,4,3,2,3,1,3,3,3,2,3,3
R317,Nam,Dưới 30,Trên 10 năm,Nhỏ,Sản xuất,2,3,3,2,4,3,4,3,2,3,2,3
R318,Nam,50 trở lên,3-5 năm,Nhỏ,Xây dựng,3,4,4,3,4,3,4,4,4,4,4,4
R319,Nữ,40-49,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,3,3,3,5,3,4,3,5,3,4,4
R320,Nam,Dưới 30,6-10 năm,Nhỏ,Công nghệ thông tin,2,2,3,3,3,2,4,4,3,4,3,2
